Keyword,Page type,Location,Tag,content_block,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
barcelona tourist attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-33%,High,27100,33100,27100,27100,22200,22200,22200,14800,14800,18100,14800,18100
barcelona tourist places,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
barcelona tourist sights,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-33%,High,27100,33100,27100,27100,22200,22200,22200,14800,14800,18100,14800,18100
barcelona tourist spots,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
places in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
places of interest in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
places to explore in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
places to go in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
places to go in spain barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
places to see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
places to see in spain barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
places to visit barcelona spain,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
places to visit in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
places to visit in barcelona city,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
sites to see in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
sites to visit in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
tourist activities in barcelona,City PDP,Barcelona,Activities & experiences,City attractions block,22200,0%,-33%,High,27100,33100,27100,27100,22200,22200,22200,14800,14800,18100,14800,18100
tourist attractions barcelona spain,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-33%,High,27100,33100,27100,27100,22200,22200,22200,14800,14800,18100,14800,18100
tourist places in barcelona spain,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-33%,High,27100,33100,27100,27100,22200,22200,22200,14800,14800,18100,14800,18100
tourist spot in barcelona spain,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-33%,High,27100,33100,27100,27100,22200,22200,22200,14800,14800,18100,14800,18100
la boqueria in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,18100,22%,-18%,Medium,22200,22200,22200,22200,22200,22200,18100,14800,14800,14800,18100,18100
barcelona bogatell beach,City PDP,Barcelona,Beaches & water,Things to do block,14800,83%,83%,Low,8100,12100,22200,27100,27100,27100,6600,4400,3600,5400,6600,9900
barcelona city things to do,City PDP,Barcelona,Activities & experiences,Things to do block,14800,0%,-33%,High,22200,22200,18100,18100,18100,14800,14800,12100,9900,14800,14800,14800
barcelona spain museums,City PDP,Barcelona,Art & culture,City attractions block,14800,22%,-18%,High,14800,14800,12100,14800,14800,14800,14800,9900,9900,12100,12100,14800
barcelona things to do,City PDP,Barcelona,Activities & experiences,Things to do block,14800,0%,-33%,High,22200,22200,18100,18100,18100,14800,14800,12100,9900,14800,14800,14800
barcelona things to see and do,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,14800,0%,-33%,High,22200,22200,18100,18100,18100,14800,14800,12100,9900,14800,14800,14800
barcelona tourist,City PDP,Barcelona,Misc & branded queries,City attractions block,14800,83%,-18%,Medium,27100,33100,14800,14800,12100,9900,8100,6600,6600,8100,8100,14800
bogatell beach barcelona spain,City PDP,Barcelona,Beaches & water,Things to do block,14800,83%,83%,Low,8100,12100,22200,27100,27100,27100,6600,4400,3600,5400,6600,9900
sushi in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,14800,0%,-18%,Medium,18100,14800,14800,18100,18100,14800,14800,14800,18100,18100,18100,18100
to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,14800,0%,-33%,High,22200,22200,18100,18100,18100,14800,14800,12100,9900,14800,14800,14800
barcelona city food,City PDP,Barcelona,Food & drink,Things to do block,12100,22%,-18%,Low,14800,18100,14800,12100,9900,12100,12100,9900,8100,9900,9900,12100
barcelona cosmocaixa,City PDP,Barcelona,Misc & branded queries,City attractions block,12100,0%,0%,Medium,14800,9900,8100,12100,14800,9900,12100,9900,12100,14800,12100,14800
barcelona foodies,City PDP,Barcelona,Misc & branded queries,Things to do block,12100,22%,-18%,Low,14800,18100,14800,12100,9900,12100,12100,9900,8100,9900,9900,12100
barcelona meals,City PDP,Barcelona,Misc & branded queries,Things to do block,12100,22%,-18%,Low,14800,18100,14800,12100,9900,12100,12100,9900,8100,9900,9900,12100
barcelona spain food,City PDP,Barcelona,Food & drink,Things to do block,12100,22%,-18%,Low,14800,18100,14800,12100,9900,12100,12100,9900,8100,9900,9900,12100
barcelona underground tickets,City PDP,Barcelona,Misc & branded queries,Transport block,12100,22%,-33%,Low,18100,14800,14800,14800,14800,14800,14800,9900,8100,9900,9900,12100
barceloneta paella best,City PDP,Barcelona,Food & drink,Unclassified,12100,50%,-45%,Medium,18100,18100,14800,14800,12100,12100,12100,8100,5400,6600,6600,9900
best barcelona tapas,City PDP,Barcelona,Food & drink,Things to do block,12100,22%,-55%,Low,18100,18100,18100,14800,14800,14800,12100,8100,5400,8100,8100,9900
best paella in barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,50%,-45%,Medium,18100,18100,14800,14800,12100,12100,12100,8100,5400,6600,6600,9900
best tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,22%,-55%,Low,18100,18100,18100,14800,14800,14800,12100,8100,5400,8100,8100,9900
best tapas barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,12100,22%,-55%,Low,18100,18100,18100,14800,14800,14800,12100,8100,5400,8100,8100,9900
best tapas restaurant in barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,12100,22%,-55%,Low,18100,18100,18100,14800,14800,14800,12100,8100,5400,8100,8100,9900
food in barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,22%,-18%,Low,14800,18100,14800,12100,9900,12100,12100,9900,8100,9900,9900,12100
good paella in barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,50%,-45%,Medium,18100,18100,14800,14800,12100,12100,12100,8100,5400,6600,6600,9900
good tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,22%,-55%,Low,18100,18100,18100,14800,14800,14800,12100,8100,5400,8100,8100,9900
great paella barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,50%,-45%,Medium,18100,18100,14800,14800,12100,12100,12100,8100,5400,6600,6600,9900
great tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,22%,-55%,Low,18100,18100,18100,14800,14800,14800,12100,8100,5400,8100,8100,9900
metro barcelona tickets,City PDP,Barcelona,Getting there & local transport,Transport block,12100,22%,-33%,Low,18100,14800,14800,14800,14800,14800,14800,9900,8100,9900,9900,12100
metro fare barcelona,City PDP,Barcelona,Getting there & local transport,Transport block,12100,22%,-33%,Low,18100,14800,14800,14800,14800,14800,14800,9900,8100,9900,9900,12100
paella barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,49%,-33%,Low,18100,18100,14800,14800,14800,12100,12100,9900,8100,8100,8100,12100
paella best barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,50%,-45%,Medium,18100,18100,14800,14800,12100,12100,12100,8100,5400,6600,6600,9900
paella best in barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,50%,-45%,Medium,18100,18100,14800,14800,12100,12100,12100,8100,5400,6600,6600,9900
recommended tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,12100,22%,-55%,Low,18100,18100,18100,14800,14800,14800,12100,8100,5400,8100,8100,9900
barcelona naturist beach,City PDP,Barcelona,Beaches & water,Things to do block,9900,22%,-19%,Low,9900,12100,14800,14800,14800,9900,6600,5400,5400,5400,5400,6600
barcelona ramen,City PDP,Barcelona,Misc & branded queries,Things to do block,9900,-33%,-33%,Low,12100,8100,6600,6600,8100,9900,12100,14800,14800,14800,9900,9900
day tours from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,9900,-18%,-33%,High,12100,12100,12100,12100,12100,9900,9900,8100,6600,12100,9900,9900
day trip tours from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,9900,-18%,-33%,High,12100,12100,12100,12100,12100,9900,9900,8100,6600,12100,9900,9900
day trips from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,9900,-18%,-33%,High,12100,12100,12100,12100,12100,9900,9900,8100,6600,12100,9900,9900
little beach house barcelone,City PDP,Barcelona,Beaches & water,Things to do block,9900,175%,50%,Low,12100,14800,22200,14800,14800,8100,5400,1900,1600,2400,2900,6600
michelin barcelona restaurants,City PDP,Barcelona,Food & drink,Things to do block,9900,-18%,-33%,Low,12100,9900,9900,9900,9900,12100,9900,8100,6600,9900,6600,8100
michelin star restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,9900,-18%,-33%,Low,12100,9900,9900,9900,9900,12100,9900,8100,6600,9900,6600,8100
michelin star restaurants in barcelona,City PDP,Barcelona,Food & drink,Things to do block,9900,-18%,-33%,Low,12100,9900,9900,9900,9900,12100,9900,8100,6600,9900,6600,8100
must do in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,9900,22%,-33%,High,14800,12100,12100,12100,12100,12100,9900,6600,5400,8100,8100,9900
must do things in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,9900,22%,-33%,High,14800,12100,12100,12100,12100,12100,9900,6600,5400,8100,8100,9900
must see and do in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,9900,22%,-33%,High,14800,12100,12100,12100,12100,12100,9900,6600,5400,8100,8100,9900
must see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,9900,22%,-33%,High,14800,12100,12100,12100,12100,12100,9900,6600,5400,8100,8100,9900
must see things in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,9900,22%,-33%,High,14800,12100,12100,12100,12100,12100,9900,6600,5400,8100,8100,9900
must visit places in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,9900,22%,-33%,High,14800,12100,12100,12100,12100,12100,9900,6600,5400,8100,8100,9900
barcelona best things to see,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
barcelona city tourism,City PDP,Barcelona,Misc & branded queries,City attractions block,8100,0%,-64%,Medium,9900,9900,14800,8100,18100,9900,6600,5400,5400,5400,4400,5400
barcelona macba,City PDP,Barcelona,Misc & branded queries,City attractions block,8100,-18%,-18%,Medium,8100,8100,6600,8100,9900,8100,8100,8100,8100,9900,8100,8100
barcelona mnac,City PDP,Barcelona,Misc & branded queries,City attractions block,8100,0%,22%,Medium,8100,8100,6600,6600,8100,8100,8100,8100,6600,9900,9900,9900
barcelona tapas,City PDP,Barcelona,Food & drink,Things to do block,8100,0%,-33%,Low,9900,9900,8100,9900,8100,6600,6600,6600,6600,8100,8100,8100
barcelona things to visit,City PDP,Barcelona,Misc & branded queries,Things to do block,8100,0%,-18%,High,9900,9900,9900,9900,9900,9900,8100,5400,5400,8100,6600,8100
barcelona to see and do,City PDP,Barcelona,Misc & branded queries,City attractions block,8100,0%,-18%,High,9900,9900,9900,9900,9900,9900,8100,5400,5400,8100,6600,8100
barcelona top things to do,City PDP,Barcelona,Activities & experiences,Things to do block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
barcelona what to do there,City PDP,Barcelona,Activities & experiences,Things to do block,8100,0%,-33%,High,9900,12100,9900,9900,9900,9900,9900,6600,5400,8100,8100,8100
barceloneta park,City PDP,Barcelona,Nature & outdoors,Unclassified,8100,0%,23%,Low,9900,9900,9900,8100,9900,9900,8100,6600,6600,8100,8100,8100
best activities to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
best attractions in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
best barcelona activities,City PDP,Barcelona,Activities & experiences,Things to do block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
best barcelona attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
best nightlife in barcelona,City PDP,Barcelona,Nightlife,Things to do block,8100,23%,-45%,Low,12100,12100,12100,12100,12100,8100,8100,5400,5400,6600,5400,8100
best things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
best things to do in barca,City PDP,Barcelona,Activities & experiences,Things to do block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
best things to see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
best things to visit in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
cool stuff to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
foodmarket barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,8100,50%,-18%,Low,12100,9900,9900,9900,9900,8100,8100,5400,4400,5400,5400,8100
good things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
great things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
l9 metro barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,8100,50%,0%,Low,8100,9900,8100,8100,6600,8100,8100,8100,6600,6600,6600,9900
llevant beach barcelona,City PDP,Barcelona,Beaches & water,Things to do block,8100,88%,23%,Low,390,590,1300,1000,90500,480,210,210,140,170,260,320
macba in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,8100,-18%,-18%,Medium,8100,8100,6600,8100,9900,8100,8100,8100,8100,9900,8100,8100
mnac barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,8100,0%,22%,Medium,8100,8100,6600,6600,8100,8100,8100,8100,6600,9900,9900,9900
nice things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
popular things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
shopping bcn,City PDP,Barcelona,Shopping,Unclassified,8100,23%,-18%,Low,9900,9900,8100,9900,8100,8100,8100,5400,5400,6600,6600,8100
spain tourism barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,8100,0%,-64%,Medium,9900,9900,14800,8100,18100,9900,6600,5400,5400,5400,4400,5400
stuff to see in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,8100,0%,-18%,High,9900,9900,9900,9900,9900,9900,8100,5400,5400,8100,6600,8100
things to see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,8100,0%,-18%,High,9900,9900,9900,9900,9900,9900,8100,5400,5400,8100,6600,8100
things to see in barcelona city,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,8100,0%,-18%,High,9900,9900,9900,9900,9900,9900,8100,5400,5400,8100,6600,8100
top things to visit in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,8100,23%,-33%,High,12100,12100,12100,9900,9900,9900,8100,6600,4400,6600,6600,8100
tourism in barcelona,City PDP,Barcelona,Misc & branded queries,H1,8100,0%,-64%,Medium,9900,9900,14800,8100,18100,9900,6600,5400,5400,5400,4400,5400
