Keyword,Page type,Location,Tag,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
top cities to visit in spain,Country PLP,Spain,Urban destinations,1600,0%,-16%,Low,1900,2400,1600,1600,1600,1600,1300,1300,1300,1600,1600,1600
north spain tours,Country PLP,Spain,Regional exploration,880,0%,-12%,Medium,1000,1000,880,880,720,720,880,590,480,880,720,880
inspiring vacations spain,Country PLP,Spain,Places & destinations,20,-50%,-50%,Medium,30,40,20,20,20,20,20,30,10,20,30,10
spain tourism and attractions,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
best of spain and portugal insight vacations,Country PLP,Spain,Places & destinations,110,-21%,-21%,Medium,110,140,90,90,110,110,90,110,70,140,110,110
spain where to go,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Medium,2400,2400,1900,1900,1600,1600,1300,1300,1300,1900,1600,1600
best way to travel in spain,Country PLP,Spain,Places & destinations,170,-18%,-46%,Medium,210,210,170,210,170,170,140,110,140,170,140,140
cheap spain destinations,Country PLP,Spain,Budget & value,110,22%,-35%,Medium,210,210,170,140,70,70,50,40,50,90,90,110
fun things to do in spain,Country PLP,Spain,Activities & experiences,1000,0%,14%,Low,1300,2400,1000,590,720,1300,1000,880,880,1000,1000,1000
spain vacation ideas,Country PLP,Spain,Trip types & holidays,30,0%,-56%,Low,50,50,40,30,30,30,20,10,30,40,30,40
top 10 things to do in spain,Country PLP,Spain,Activities & experiences,320,-19%,-33%,Medium,320,390,260,260,320,260,260,260,320,320,260,260
best things to see in spain,Country PLP,Spain,Sightseeing & landmarks,320,-18%,-18%,Medium,390,480,320,320,260,260,260,260,260,390,320,320
spain beach holiday destinations,Country PLP,Spain,Beaches & coast,140,0%,-46%,Medium,210,210,210,170,110,70,110,50,30,140,90,140
cheap places to visit in spain,Country PLP,Spain,Budget & value,590,22%,-18%,Low,880,1000,880,880,480,480,320,320,320,590,480,720
spain vacation tours,Country PLP,Spain,Trip types & holidays,30,50%,-40%,High,50,50,50,30,40,20,20,20,20,20,20,30
must do in spain,Country PLP,Spain,Places & destinations,480,-34%,-46%,Medium,590,590,480,480,480,480,390,320,390,590,480,390
spain beach destinations,Country PLP,Spain,Beaches & coast,590,0%,-33%,Low,880,880,880,720,590,390,260,260,260,590,480,590
southern spain itinerary 10 days,Country PLP,Spain,Itineraries & road trips,2400,-17%,-33%,Low,2900,3600,2900,2400,2400,1900,1900,1600,1900,2900,2400,2400
northern spain holiday destinations,Country PLP,Spain,Regional exploration,210,-56%,-35%,Medium,210,320,320,260,210,140,140,90,170,390,260,170
best of spain tour,Country PLP,Spain,Places & destinations,320,-47%,-56%,Medium,390,480,390,390,320,390,320,210,170,320,170,170
spain top,Country PLP,Spain,Places & destinations,590,50%,0%,High,590,880,1000,720,480,480,390,480,390,480,480,720
spain tourist spots,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
go to spain,Country PLP,Spain,Places & destinations,880,-18%,-28%,Low,1000,1000,880,880,880,720,720,480,590,880,720,720
best place to vacation in spain,Country PLP,Spain,Trip types & holidays,720,-18%,-18%,Medium,880,880,880,880,590,590,480,480,480,880,720,720
sightseeing in spain,Country PLP,Spain,Sightseeing & landmarks,170,0%,-33%,Medium,260,320,210,110,170,170,170,170,170,140,170,140
hottest place in spain in may,Country PLP,Spain,Seasonality & weather,480,39%,0%,Low,1000,590,140,140,170,210,390,210,210,720,590,1000
most beautiful places in spain,Country PLP,Spain,Places & destinations,6600,0%,-19%,Low,8100,8100,6600,6600,6600,5400,5400,5400,4400,6600,5400,6600
best vacation spots in spain,Country PLP,Spain,Trip types & holidays,720,-18%,-18%,Medium,880,880,880,880,590,590,480,480,480,880,720,720
must visit places in spain,Country PLP,Spain,Sightseeing & landmarks,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
best way to tour spain,Country PLP,Spain,Places & destinations,20,-67%,-50%,High,20,20,30,20,10,10,20,10,10,30,10,10
popular spain destinations,Country PLP,Spain,Places & destinations,210,0%,24%,Medium,260,260,260,320,210,210,170,140,170,260,210,260
best spain vacations,Country PLP,Spain,Places & destinations,70,-29%,-55%,Medium,90,90,110,90,50,50,40,50,70,70,50,50
best tourist places in spain,Country PLP,Spain,Places & destinations,880,0%,-18%,Low,880,1300,720,590,720,1300,880,720,720,720,720,720
best places in spain for couples,Country PLP,Spain,Trip types & holidays,140,27%,-33%,Medium,210,260,260,170,110,90,90,50,50,110,90,140
top destinations in spain,Country PLP,Spain,Places & destinations,880,0%,-12%,Low,1000,1000,880,880,720,880,720,590,590,880,720,880
cheapest place in spain to go on holiday,Country PLP,Spain,Budget & value,10,0%,0%,Medium,10,20,20,20,20,10,10,10,10,10,10,10
beautiful places in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Low,1900,2400,1900,1600,1600,1900,1600,1300,1300,1900,1600,1600
must see cities in spain,Country PLP,Spain,Urban destinations,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
nice places to go in spain,Country PLP,Spain,Places & destinations,210,0%,0%,Medium,260,320,210,170,170,210,110,110,110,210,210,210
south spain tour,Country PLP,Spain,Regional exploration,320,-19%,-33%,Medium,320,390,320,320,320,320,260,320,260,320,320,260
short trip to spain,Country PLP,Spain,Places & destinations,1600,0%,-32%,Medium,1900,2400,1600,1600,1600,1300,1900,590,590,1300,1300,1300
best southern spain itinerary,Country PLP,Spain,Itineraries & road trips,20,-33%,-50%,Medium,30,20,30,20,40,10,10,20,20,30,30,20
places to visit in spain with family,Country PLP,Spain,Trip types & holidays,170,-35%,-58%,Medium,260,260,260,260,260,140,70,50,70,170,110,110
travel to southern spain,Country PLP,Spain,Regional exploration,50,-43%,-20%,Medium,70,90,40,40,40,30,30,70,30,70,30,40
solo female travel spain,Country PLP,Spain,Places & destinations,90,-22%,-50%,Medium,110,140,110,110,90,70,50,50,40,90,70,70
good places to go in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best places to visit in southern spain,Country PLP,Spain,Regional exploration,590,-18%,-18%,Low,720,590,590,590,590,590,480,390,480,720,590,590
travel southern spain,Country PLP,Spain,Regional exploration,70,-56%,-71%,Medium,90,90,70,70,70,140,70,50,50,90,70,40
cheap places in spain holiday,Country PLP,Spain,Budget & value,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
summer holiday in spain,Country PLP,Spain,Seasonality & weather,390,-19%,-34%,Medium,480,480,720,720,720,480,140,110,140,260,210,210
best part of spain to visit,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
romantic places in spain,Country PLP,Spain,Places & destinations,260,0%,-19%,Low,320,390,320,320,320,210,320,170,170,260,210,260
best places to go in spain for families,Country PLP,Spain,Places & destinations,70,0%,-18%,Medium,110,110,140,70,70,50,40,40,40,90,70,90
popular places in spain,Country PLP,Spain,Places & destinations,1000,0%,0%,Low,1300,1600,1000,880,1000,1300,1300,1000,880,1000,1000,1000
best place to go in spain for family holiday,Country PLP,Spain,Trip types & holidays,20,-33%,0%,Medium,20,20,20,30,20,10,10,10,10,30,20,20
nice places to visit in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
spain places,Country PLP,Spain,Places & destinations,18100,0%,0%,Low,18100,33100,18100,18100,18100,18100,14800,14800,12100,18100,14800,18100
best way to see portugal and spain,Country PLP,Spain,Places & destinations,20,-33%,0%,High,30,30,10,30,30,20,20,10,10,30,10,20
cheapest place to holiday in spain,Country PLP,Spain,Budget & value,320,0%,-33%,Medium,390,590,320,390,320,170,320,140,140,260,260,260
top 10 places to visit in spain,Country PLP,Spain,Places & destinations,2400,-21%,-34%,Low,2900,2900,2400,1900,1900,2400,1900,1600,1600,2400,1900,1900
travel around spain,Country PLP,Spain,Places & destinations,110,-18%,-57%,Medium,170,140,140,110,110,110,70,90,90,110,90,90
best holiday destinations in spain for friends,Country PLP,Spain,Trip types & holidays,20,-50%,-75%,Medium,40,30,40,20,20,10,10,10,10,20,10,10
cheap spain holiday destinations,Country PLP,Spain,Budget & value,30,0%,-40%,High,40,30,50,40,30,20,10,10,10,30,20,30
best way to travel around spain,Country PLP,Spain,Places & destinations,90,-36%,-36%,Medium,110,110,90,70,110,90,70,70,70,110,90,70
nicest places in spain,Country PLP,Spain,Places & destinations,1000,0%,-23%,Low,1300,1600,1300,1300,1000,720,720,590,590,1000,880,1000
affordable spain vacations,Country PLP,Spain,Budget & value,40,0%,-40%,Medium,50,40,40,70,40,30,20,20,20,30,50,30
best holiday spain,Country PLP,Spain,Trip types & holidays,170,0%,-19%,Medium,210,210,210,210,140,170,110,70,70,170,140,170
cheap places in spain to go on holiday,Country PLP,Spain,Budget & value,30,0%,-33%,Medium,50,50,40,50,20,10,10,10,10,20,20,20
spain tourist package,Country PLP,Spain,Places & destinations,6600,-18%,-33%,Medium,8100,8100,6600,6600,5400,5400,4400,4400,5400,6600,5400,5400
vacation in spain cost,Country PLP,Spain,Budget & value,20,100%,-50%,Medium,30,20,20,50,20,10,10,10,10,10,10,20
best spain tour,Country PLP,Spain,Places & destinations,110,-36%,-47%,High,140,140,140,140,170,140,90,110,90,140,90,90
best month to visit spain,Country PLP,Spain,Seasonality & weather,1600,-32%,-32%,Low,1900,1900,1900,1900,1900,1600,1600,1600,1600,1900,1600,1300
best way to visit spain,Country PLP,Spain,Places & destinations,70,-44%,-44%,High,70,90,90,90,70,50,50,50,50,90,70,50
portugal spain vacation,Country PLP,Spain,Trip types & holidays,20,-33%,100%,Medium,10,30,20,30,10,20,20,10,20,30,20,20
spain things to see,Country PLP,Spain,Sightseeing & landmarks,18100,-18%,0%,Low,18100,22200,14800,12100,12100,14800,22200,18100,18100,22200,14800,18100
best parts of spain to holiday,Country PLP,Spain,Trip types & holidays,20,0%,-75%,Medium,40,50,30,30,20,10,10,10,10,10,10,10
travel spain on a budget,Country PLP,Spain,Budget & value,70,-43%,-64%,Low,90,110,90,90,90,70,50,50,40,70,50,40
spain tourist,Country PLP,Spain,Places & destinations,6600,0%,-33%,Medium,8100,8100,8100,6600,6600,6600,5400,4400,3600,5400,4400,5400
the best places to visit in spain,Country PLP,Spain,Places & destinations,170,0%,-35%,Medium,210,260,210,210,170,170,110,170,110,170,140,170
cheap places in spain for holiday,Country PLP,Spain,Budget & value,20,200%,-25%,Medium,50,30,50,20,30,10,10,10,10,10,10,30
best places to go in spain with family,Country PLP,Spain,Trip types & holidays,70,0%,-18%,Medium,110,110,140,70,70,50,40,40,40,90,70,90
spain travel destinations,Country PLP,Spain,Places & destinations,210,24%,0%,Low,210,320,260,210,170,140,320,110,110,170,140,210
best part of spain for family holiday,Country PLP,Spain,Trip types & holidays,40,-40%,-57%,Medium,50,70,70,70,70,40,10,10,10,50,30,30
things to do in lisbon spain,Country PLP,Spain,Activities & experiences,30,100%,33%,Medium,30,40,50,50,30,40,40,20,20,20,30,40
top things to see in spain,Country PLP,Spain,Sightseeing & landmarks,140,0%,21%,Medium,140,170,140,140,140,140,110,140,170,170,140,170
best places in spain for beach holiday,Country PLP,Spain,Beaches & coast,110,-18%,-18%,Medium,210,170,170,170,110,70,50,50,50,170,110,140
top attractions in spain,Country PLP,Spain,Sightseeing & landmarks,880,-28%,-45%,Medium,1000,1300,880,880,720,880,720,590,720,1000,720,720
cheap holiday destinations spain,Country PLP,Spain,Budget & value,320,0%,-33%,Medium,390,590,320,390,320,170,320,140,140,260,260,260
best places to visit in northern spain,Country PLP,Spain,Regional exploration,390,-19%,-19%,Low,480,590,590,480,480,390,320,210,260,480,390,390
best places to visit in spain with family,Country PLP,Spain,Trip types & holidays,70,0%,-18%,Medium,110,110,140,70,70,50,40,40,40,90,70,90
travel northern spain,Country PLP,Spain,Regional exploration,390,-19%,0%,Low,390,480,480,390,320,480,260,260,320,590,480,480
best towns to visit in spain,Country PLP,Spain,Urban destinations,210,-19%,-19%,Low,260,320,260,210,210,170,170,140,170,260,210,210
best destination in spain for family holiday,Country PLP,Spain,Trip types & holidays,390,-19%,-34%,Medium,480,480,480,390,320,260,320,140,210,480,390,390
sites to see in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
best beach towns in spain,Country PLP,Spain,Beaches & coast,1900,0%,-33%,Low,2900,3600,2900,2400,1900,1300,1300,880,1000,2400,1900,2400
best beach destinations in spain,Country PLP,Spain,Beaches & coast,260,23%,-33%,Low,390,480,390,390,210,140,110,110,140,260,260,320
beaches in spain to visit,Country PLP,Spain,Beaches & coast,140,-36%,-57%,Medium,170,210,170,170,140,110,70,30,70,140,90,90
holiday destinations in spain for couples,Country PLP,Spain,Trip types & holidays,30,-33%,-33%,Medium,30,50,40,50,20,20,10,10,10,30,20,20
must visit cities in spain,Country PLP,Spain,Urban destinations,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
places to visit in spain in december,Country PLP,Spain,Seasonality & weather,140,-40%,-40%,Low,70,50,70,90,140,210,320,390,210,50,30,30
must do things in spain,Country PLP,Spain,Places & destinations,480,-34%,-46%,Medium,590,590,480,480,480,480,390,320,390,590,480,390
quiet places in spain,Country PLP,Spain,Places & destinations,110,0%,0%,Low,140,170,170,170,90,70,50,50,40,110,70,110
holiday spots in spain,Country PLP,Spain,Trip types & holidays,3600,0%,-33%,Medium,5400,5400,5400,5400,3600,2900,2400,1900,1900,3600,2900,3600
visit spain in december,Country PLP,Spain,Seasonality & weather,260,-22%,-50%,Low,170,210,210,390,320,390,480,320,170,90,90,70
places to visit in spain in april,Country PLP,Spain,Seasonality & weather,70,21%,-35%,Medium,90,20,10,10,20,20,30,40,70,140,140,170
things to visit in spain,Country PLP,Spain,Places & destinations,18100,-18%,0%,Low,18100,22200,14800,12100,12100,14800,22200,18100,18100,22200,14800,18100
trip to southern spain,Country PLP,Spain,Regional exploration,260,-19%,-19%,Medium,320,260,260,260,260,260,260,210,210,320,260,260
spain sites to visit,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
best places to visit in spain in october,Country PLP,Spain,Seasonality & weather,170,29%,0%,Medium,90,170,170,320,390,480,210,50,40,70,70,90
best places in spain for solo travel,Country PLP,Spain,Trip types & holidays,30,-33%,-60%,Low,40,50,50,40,20,20,10,10,20,30,20,20
nice places in spain for holiday,Country PLP,Spain,Trip types & holidays,140,24%,50%,Medium,140,170,210,140,90,70,170,70,90,170,140,210
holiday destinations mainland spain,Country PLP,Spain,Regional exploration,110,0%,-19%,Medium,170,140,140,110,140,70,70,70,50,170,140,170
spain solo travel itinerary,Country PLP,Spain,Itineraries & road trips,20,100%,-50%,Low,30,40,30,20,20,20,10,10,10,10,10,20
places to visit in spain in august,Country PLP,Spain,Seasonality & weather,30,0%,-50%,Medium,40,50,70,70,30,10,10,10,10,20,20,20
visit northern spain,Country PLP,Spain,Regional exploration,110,-50%,-50%,Medium,110,140,110,210,110,90,90,90,70,140,90,70
must visit in spain,Country PLP,Spain,Sightseeing & landmarks,1300,-38%,-47%,Medium,1600,1900,1600,1300,1300,1600,1000,1000,1000,1600,1000,1000
top places in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Medium,1900,1900,1600,1600,1600,1300,1300,1000,1000,1900,1600,1600
cheapest places in spain to visit,Country PLP,Spain,Budget & value,590,22%,-18%,Low,880,1000,880,880,480,480,320,320,320,590,480,720
vacation in spain 2022,Country PLP,Spain,Trip types & holidays,10,0%,-100%,Unknown,10,10,0,10,10,0,0,0,0,0,0,0
top places to go in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Medium,1900,1900,1600,1600,1600,1300,1300,1000,1000,1900,1600,1600
spain vacations 2022,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,0,0,0,0,0,0,0,0,10,0,10
good places in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
northern spain travel guide,Country PLP,Spain,Regional exploration,110,-35%,-35%,High,140,110,140,140,110,70,50,70,90,170,140,110
places to visit in northern spain,Country PLP,Spain,Regional exploration,390,-19%,-19%,Low,480,590,480,590,390,320,390,210,210,480,320,390
things to see and do in spain,Country PLP,Spain,Sightseeing & landmarks,18100,-18%,0%,Low,18100,22200,14800,12100,12100,14800,22200,18100,18100,22200,14800,18100
top 15 destination in spain,Country PLP,Spain,Places & destinations,170,-36%,-47%,Low,140,140,140,110,90,260,390,260,260,140,110,90
south of spain itinerary 10 days,Country PLP,Spain,Itineraries & road trips,40,-25%,-40%,Medium,50,30,40,40,50,40,40,50,20,40,30,30
best trips in spain,Country PLP,Spain,Places & destinations,140,-21%,-48%,Medium,170,210,140,110,110,110,90,90,110,140,140,110
places to go in spain with family,Country PLP,Spain,Trip types & holidays,170,-35%,-58%,Medium,260,260,260,260,260,140,70,50,70,170,110,110
southern spain vacation,Country PLP,Spain,Regional exploration,70,40%,0%,Medium,70,50,110,50,50,50,50,70,50,50,40,70
best short breaks spain,Country PLP,Spain,Places & destinations,30,0%,-40%,Low,40,40,30,10,20,10,90,20,20,30,40,30
places of interest in spain,Country PLP,Spain,Places & destinations,880,0%,-12%,Low,1000,1300,880,720,880,1000,1000,720,720,880,880,880
best places to visit in spain for families,Country PLP,Spain,Places & destinations,70,0%,-18%,Medium,110,110,140,70,70,50,40,40,40,90,70,90
